base_year_month,time_type,user_type,age_range,use_amount_by_million
201804,오후,제주도민,60대,2608
201804,오후,제주도민,70대 이상,991
201804,저녁,내국인,19세 이하,26
201804,저녁,내국인,20대,1751
201804,저녁,내국인,30대,4039
201804,저녁,내국인,40대,4020
201804,저녁,내국인,50대,4022
201804,저녁,내국인,60대,1980
201804,저녁,내국인,70대 이상,447
201804,저녁,제주도민,19세 이하,33
201804,저녁,제주도민,20대,1738
201804,저녁,제주도민,30대,3718
201804,저녁,제주도민,40대,6140
201804,저녁,제주도민,50대,5892
201804,저녁,제주도민,60대,2649
201804,저녁,제주도민,70대 이상,625
201804,점심,내국인,19세 이하,29
201804,점심,내국인,20대,1239
201804,점심,내국인,30대,2983
201804,점심,내국인,40대,3031
201804,점심,내국인,50대,2981
201804,점심,내국인,60대,1841
201804,점심,내국인,70대 이상,545
201804,점심,제주도민,19세 이하,9
201804,점심,제주도민,20대,766
201804,점심,제주도민,30대,2008
201804,점심,제주도민,40대,3682
201804,점심,제주도민,50대,3660
201804,점심,제주도민,60대,2056
201804,점심,제주도민,70대 이상,861
201805,밤,내국인,19세 이하,8
201805,밤,내국인,20대,616
201805,밤,내국인,30대,1124
201805,밤,내국인,40대,1294
201805,밤,내국인,50대,1102
201805,밤,내국인,60대,367
201805,밤,내국인,70대 이상,63
201805,밤,제주도민,19세 이하,11
201805,밤,제주도민,20대,1111
201805,밤,제주도민,30대,1650
201805,밤,제주도민,40대,2688
201805,밤,제주도민,50대,2238
201805,밤,제주도민,60대,659
201805,밤,제주도민,70대 이상,105
201805,오전,내국인,19세 이하,36
201805,오전,내국인,20대,704
201805,오전,내국인,30대,1872
201805,오전,내국인,40대,2257
201805,오전,내국인,50대,2057
201805,오전,내국인,60대,1079
201805,오전,내국인,70대 이상,309
201805,오전,제주도민,19세 이하,5
201805,오전,제주도민,20대,361
201805,오전,제주도민,30대,1052
201805,오전,제주도민,40대,2069
201805,오전,제주도민,50대,2449
201805,오전,제주도민,60대,1369
201805,오전,제주도민,70대 이상,576
201805,오후,내국인,19세 이하,91
201805,오후,내국인,20대,1534
201805,오후,내국인,30대,3896
201805,오후,내국인,40대,4367
201805,오후,내국인,50대,3797
201805,오후,내국인,60대,2021
201805,오후,내국인,70대 이상,576
201805,오후,제주도민,19세 이하,25
201805,오후,제주도민,20대,1072
201805,오후,제주도민,30대,2841
201805,오후,제주도민,40대,5256
201805,오후,제주도민,50대,5070
201805,오후,제주도민,60대,2890
201805,오후,제주도민,70대 이상,1032
201805,저녁,내국인,19세 이하,40
201805,저녁,내국인,20대,1735
201805,저녁,내국인,30대,3874
201805,저녁,내국인,40대,4332
201805,저녁,내국인,50대,3983
201805,저녁,내국인,60대,1863
201805,저녁,내국인,70대 이상,426
201805,저녁,제주도민,19세 이하,38
201805,저녁,제주도민,20대,1860
201805,저녁,제주도민,30대,3913
201805,저녁,제주도민,40대,6609
201805,저녁,제주도민,50대,6334
201805,저녁,제주도민,60대,2792
201805,저녁,제주도민,70대 이상,669
201805,점심,내국인,19세 이하,51
201805,점심,내국인,20대,1218
201805,점심,내국인,30대,3018
201805,점심,내국인,40대,3309
201805,점심,내국인,50대,2909
201805,점심,내국인,60대,1694
201805,점심,내국인,70대 이상,512
201805,점심,제주도민,19세 이하,10
201805,점심,제주도민,20대,797
201805,점심,제주도민,30대,2193
201805,점심,제주도민,40대,4014
201805,점심,제주도민,50대,3982
201805,점심,제주도민,60대,2149
201805,점심,제주도민,70대 이상,893
201806,밤,내국인,19세 이하,2
201806,밤,내국인,20대,705
201806,밤,내국인,30대,1124
201806,밤,내국인,40대,1278
201806,밤,내국인,50대,1071
201806,밤,내국인,60대,351
201806,밤,내국인,70대 이상,68
201806,밤,제주도민,19세 이하,12
201806,밤,제주도민,20대,1110
201806,밤,제주도민,30대,1640
201806,밤,제주도민,40대,2625
201806,밤,제주도민,50대,2223
201806,밤,제주도민,60대,668
201806,밤,제주도민,70대 이상,104
201806,오전,내국인,19세 이하,14
201806,오전,내국인,20대,778
201806,오전,내국인,30대,1846
201806,오전,내국인,40대,2149
201806,오전,내국인,50대,1800
201806,오전,내국인,60대,901
201806,오전,내국인,70대 이상,272
201806,오전,제주도민,19세 이하,5
201806,오전,제주도민,20대,348
201806,오전,제주도민,30대,1007
201806,오전,제주도민,40대,2027
201806,오전,제주도민,50대,2334
201806,오전,제주도민,60대,1296
201806,오전,제주도민,70대 이상,513
201806,오후,내국인,19세 이하,28
201806,오후,내국인,20대,1888
201806,오후,내국인,30대,4085
201806,오후,내국인,40대,4224
201806,오후,내국인,50대,3510
201806,오후,내국인,60대,1739
201806,오후,내국인,70대 이상,481
201806,오후,제주도민,19세 이하,23
201806,오후,제주도민,20대,1038
201806,오후,제주도민,30대,2664
201806,오후,제주도민,40대,4921
201806,오후,제주도민,50대,4826
201806,오후,제주도민,60대,2703
201806,오후,제주도민,70대 이상,927
201806,저녁,내국인,19세 이하,14
201806,저녁,내국인,20대,2104
